,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
1,Leioproctus aberrans,Leioproctus aberrans Leijs,specificEpithet,0.0,Leioproctus,Colletellus,aberrans,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) aberrans Leijs, sp."
2,Leioproctus alatus,Leioproctus alatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,alatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) alatus Leijs, sp."
3,Leioproctus albiscopis,Leioproctus albiscopis Leijs,specificEpithet,0.0,Leioproctus,Colletellus,albiscopis,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) albiscopis Leijs, sp."
4,Leioproctus aratus,Leioproctus aratus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,aratus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) aratus Leijs, sp."
5,Leioproctus albiscopis,Leioproctus albiscopis Leijs,specificEpithet,0.0,Leioproctus,Colletellus,albiscopis,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) albiscopis Leijs, sp."
6,Leioproctus aberrans,Leioproctus aberrans Leijs,specificEpithet,0.0,Leioproctus,Colletellus,aberrans,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) aberrans Leijs, sp."
7,Leioproctus altispinosus,Leioproctus altispinosus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,altispinosus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) altispinosus Leijs, sp."
8,Leioproctus bidentatus,Leioproctus bidentatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,bidentatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) bidentatus Leijs, sp."
9,Leioproctus aliceafontanus,Leioproctus aliceafontanus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,aliceafontanus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) aliceafontanus Leijs, sp."
10,Leioproctus albipilosus,Leioproctus albipilosus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,albipilosus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) albipilosus Leijs, sp."
11,Leioproctus altispinosus,Leioproctus altispinosus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,altispinosus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) altispinosus Leijs, sp."
12,Leioproctus ciliatus,Leioproctus ciliatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,ciliatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) ciliatus Leijs, sp."
13,Leioproctus auricorneus,Leioproctus auricorneus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,auricorneus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) auricorneus Leijs, sp."
14,Leioproctus alatus,Leioproctus alatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,alatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) alatus Leijs, sp."
15,Leioproctus bidentatus,Leioproctus bidentatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,bidentatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) bidentatus Leijs, sp."
16,Leioproctus albipilosus,Leioproctus albipilosus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,albipilosus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) albipilosus Leijs, sp."
17,Leioproctus centralis,Leioproctus centralis Leijs,specificEpithet,0.0,Leioproctus,Colletellus,centralis,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) centralis Leijs, sp."
18,Leioproctus aliceafontanus,Leioproctus aliceafontanus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,aliceafontanus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) aliceafontanus Leijs, sp."
19,Leioproctus ciliatus,Leioproctus ciliatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,ciliatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) ciliatus Leijs, sp."
