,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
1,E. koroba,0.0,specificEpithet,0.0,E.,0.0,koroba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. koroba sp.
2,E. morobensis,0.0,specificEpithet,0.0,E.,0.0,morobensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. morobensis sp.
3,E. aseki,0.0,specificEpithet,0.0,E.,0.0,aseki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. aseki sp.
4,E. oksibilensis,0.0,specificEpithet,0.0,E.,0.0,oksibilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. oksibilensis sp.
5,E. oiwa,0.0,specificEpithet,0.0,E.,0.0,oiwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. oiwa sp.
6,E. akameku,0.0,specificEpithet,0.0,E.,0.0,akameku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. akameku sp.
7,E. kailaki,0.0,specificEpithet,0.0,E.,0.0,kailaki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. kailaki sp.
8,E. mekilensis,0.0,specificEpithet,0.0,E.,0.0,mekilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. mekilensis sp.
9,E. pseudojaseminae,0.0,specificEpithet,0.0,E.,0.0,pseudojaseminae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. pseudojaseminae sp.
10,E. warasera,0.0,specificEpithet,0.0,E.,0.0,warasera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. warasera sp.
11,E. kobau,0.0,specificEpithet,0.0,E.,0.0,kobau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. kobau sp.
12,E. warahulenensis,0.0,specificEpithet,0.0,E.,0.0,warahulenensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. warahulenensis sp.
13,Exocelina morobensis,0.0,specificEpithet,0.0,Exocelina,0.0,morobensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina morobensis sp.
