,TaxonomicNameUsage,typeOfType,typeName,typificationString
0,TNU-1,holotype,Leioproctus aberrans Leijs,"(1♂, 1♀): Female holotype: Bon Bon Stn (30.7789S; 135.3841E), 27 Oct. 2010, Leijs, R., on,SAMA32-033494, BOLD: AUSBS124-12/RL1629A."
1,TNU-2,holotype,Leioproctus alatus Leijs,"(3♂): Holotype male, Kalbarri NP (27.8333S; 114.4667E), 14 Aug. 2003, Bickel, D., yellow pan trap,AM, K447299. Paratypes 2 males, same locality data as holotype,AM, K447298, K447306."
2,TNU-3,holotype,Leioproctus albipilosus Leijs,"(1♀): Holotype female, 8 km S of Cape Bertholet (17.3167S; 122.1667E), WA, 21 Apr. 1977, Colless, D.H.,ANIC32-111660."
3,TNU-4,holotype,Leioproctus albiscopis Leijs,"(2♀): Holotype female, Arrowsmith River (29.6166S; 115.2881E), WA, 03 Oct. 1997, Houston, T.F., on,WAM19109; paratype female, same locality data as holotype,WAM19108."
4,TNU-5,holotype,Leioproctus aliceafontanus Leijs,"(7♂): Holotype male, James Ranges (24.25S; 133.43E), 22 Sep. 1978, Cardale, J.,ANIC32-111659;"
5,TNU-6,holotype,Leioproctus altispinosus Leijs,"(28♂): Holotype male, 25 km SW of Tangadee (24.5688S; 118.7636E), 22 Aug. 1984, Houston, T.F. & Hanich, B.P., on,WAM12368;"
6,TNU-7,holotype,Leioproctus aratus Leijs,"(1♂): Holotype male, Orange Grove (32.0233S; 116.0253E), 03 Aug. 1986, Peakall, R., on,WAM12365."
7,TNU-8,holotype,Leioproctus auricorneus Leijs,"(1♂): Holotype male, 56 km SE of Alice Springs (24.1833S; 134.0167E), 03 Oct. 1978, Cardale, J., Malaise trap,ANIC32-111658."
8,TNU-9,holotype,Leioproctus bidentatus Leijs,"(8♂, 9♀): Holotype female, Gooseberry Hill (31.9541S; 116.0469E), 07 Oct. 1994, Houston, T.F., on,WAM14412."
9,TNU-10,holotype,Leioproctus ciliatus Leijs,"(7♀): Holotype: female, East Yuna Nature Reserve (28.4191S; 115.2028E), 23 Sep. 1983, Houston, T.F. & C.A., on,WAM12372;"
10,TNU-11,holotype,Leioproctus claviger Leijs,"(6♂, 11♀): Holotype female, Dryandra (32.7802S; 116.9675E), 03 Oct. 1982, Howard, C.A. & Houston, T.F., on,WAM12384;"
11,TNU-12,holotype,Leioproctus consobrinus Leijs,"(3♀): Holotype female, 115 km N of Wiluna (26.5961S; 121.3806E), 29 July 1983, Houston, T.F. & McMillan, R.P., on,WAM19110; Paratypes: 2 females, 26 mi WNW of Wiluna (26.9438S; 120.3847E), 01 Sep. 1971, Houston, T.F., on,WAM19111–2."
12,TNU-13,holotype,Leioproctus constrictus Leijs,"(12♂, 29♀): Holotype female, 16 km WNW of Merredin (31.6169S; 118.3486E), 29 Oct. 1978, Houston, T.F., on,WAM12343;"
13,TNU-14,holotype,Leioproctus laciniosus Leijs,"(5♂, 3♀): Holotype female, Bon Bon Stn (30.7789S; 135.3841E), 26 Oct. 2010, Leijs, R., on,SAMA32-033484, BOLD: AUSBS140-12/RL1673A."
14,TNU-15,holotype,Leioproctus longivultu Leijs,"(4♀): Holotype female, 7 km E of Boologooro (24.2733S; 114.0308E), 27 Aug. 1980, Howard, C.A. & Houston, T.F., on,WAM19841;"
15,TNU-16,holotype,Leioproctus lucidus Leijs,"(1♀): Holotype female, 12 km ENE of Bungalbin Hill (30.29S; 119.69E), 11 Sep. 1979, Houston, T.F. et al.,WAM19833."
16,TNU-17,holotype,Leioproctus nitidifuscus Leijs,"(6♀): Holotype female, Kalbarri NP (27.8333S; 114.4667E), 14 Aug. 2003, Bickel, D., yellow pan trap,AM, K4473004."
17,TNU-18,holotype,Leioproctus pectinatus Leijs,"(4♀): Holotype female, 25 km SW of Tangadee (24.5688S; 118.7636E), 22 Aug. 1984, Houston, T.F. & Hanich, B.P., on,WAM12333;"
18,TNU-19,holotype,Leioproctus pilotapilus Leijs,"(3♂, 6♀): Holotype female, 41km E of Charlies Knob (24.6808S; 124.9858E), 01 Aug. 1983, Houston, T.F. & McMillan, R.P., on,WAM12401;"
19,TNU-20,holotype,Leioproctus quadripinnatus Leijs,"(1♂): Holotype male, Eagle Bay (33.5591S; 115.0692E), 27 Sep. 1975, Spencer, K.,WAM19115."
20,TNU-21,holotype,Leioproctus rubicundus Leijs,"(2♂, 5♀): Holotype female, Bon Bon Stn (30.7789S; 135.3841E), 26 Oct. 2010, Leijs, R., on,SAMA32-033488 AUSBS145-12/RL1630A;"
21,TNU-22,holotype,Leioproctus rubricinctus Leijs,"(10♂): Holotype male, Bullfinch (30.5797S; 119.1144E), 07 Sep. 1979, Houston, T.F. et al.,WAM12357;"
22,TNU-23,holotype,Leioproctus similis Leijs,"(4♀): Holotype female, Mt Gibson Stn (29.8014S; 117.4028E), 28 Aug. 2001, Leijs, R., on,SAMA32-033482;"
23,TNU-24,holotype,Leioproctus splendens Leijs,"(2♀): Holotype female, 14 km SE of Tamala (26.3666S; 113.9817E), 28 Aug. 1997, Houston, T.F. & Mathiasen, P., on,WAM21484;"
24,TNU-25,holotype,Leioproctus submetallicus Leijs,"(2♀, 1♂): Holotype female, Mt Gibson Stn (29.6870S; 117.3723E), 23 Aug. 2001, Leijs, R., on,SAMA32-033496;"
